2022-05-11 23:29:54.308863: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcudart.so.11.0'; dlerror: libcudart.so.11.0: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: /data/apps/anaconda/2020.11/lib
2022-05-11 23:29:54.308946: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
normalizer.cc(51) LOG(INFO) precompiled_charsmap is empty. use identity normalization.
tensor([0], device='cuda:0') tensor([0], device='cuda:0')
tensor([0], device='cuda:0') tensor([0], device='cuda:0')
tensor([0], device='cuda:0') tensor([0], device='cuda:0')
tensor([0], device='cuda:0') tensor([0], device='cuda:0')
tensor([0], device='cuda:0') tensor([0], device='cuda:0')
tensor([0], device='cuda:0') tensor([0], device='cuda:0')
tensor([0], device='cuda:0') tensor([1], device='cuda:0')
tensor([0], device='cuda:0') tensor([0], device='cuda:0')
tensor([0], device='cuda:0') tensor([0], device='cuda:0')
tensor([1], device='cuda:0') tensor([1], device='cuda:0')
tensor([0], device='cuda:0') tensor([0], device='cuda:0')
tensor([0], device='cuda:0') tensor([0], device='cuda:0')
tensor([0], device='cuda:0') tensor([0], device='cuda:0')
tensor([0], device='cuda:0') tensor([1], device='cuda:0')
tensor([0], device='cuda:0') tensor([0], device='cuda:0')
tensor([0], device='cuda:0') tensor([0], device='cuda:0')
tensor([0], device='cuda:0') tensor([0], device='cuda:0')
tensor([0], device='cuda:0') tensor([0], device='cuda:0')
tensor([1], device='cuda:0') tensor([1], device='cuda:0')
tensor([0], device='cuda:0') tensor([0], device='cuda:0')
tensor([0], device='cuda:0') tensor([0], device='cuda:0')
tensor([0], device='cuda:0') tensor([0], device='cuda:0')
tensor([0], device='cuda:0') tensor([0], device='cuda:0')
tensor([0], device='cuda:0') tensor([0], device='cuda:0')
tensor([0], device='cuda:0') tensor([0], device='cuda:0')
tensor([0], device='cuda:0') tensor([0], device='cuda:0')
tensor([0], device='cuda:0') tensor([0], device='cuda:0')
tensor([0], device='cuda:0') tensor([0], device='cuda:0')
tensor([0], device='cuda:0') tensor([0], device='cuda:0')
tensor([1], device='cuda:0') tensor([1], device='cuda:0')
tensor([0], device='cuda:0') tensor([0], device='cuda:0')
tensor([0], device='cuda:0') tensor([0], device='cuda:0')
tensor([0], device='cuda:0') tensor([0], device='cuda:0')
tensor([0], device='cuda:0') tensor([1], device='cuda:0')
tensor([0], device='cuda:0') tensor([0], device='cuda:0')
tensor([0], device='cuda:0') tensor([0], device='cuda:0')
tensor([0], device='cuda:0') tensor([0], device='cuda:0')
tensor([0], device='cuda:0') tensor([0], device='cuda:0')
tensor([0], device='cuda:0') tensor([0], device='cuda:0')
tensor([0], device='cuda:0') tensor([0], device='cuda:0')
